EntrezID,log2FC HFD,log2FC XN
Aldh1a7,0.630747388,NA
Kif20b,1.201284308,NA
Frmd8,0.65810516,NA
Pitpnm1,1.032808222,1.130229596
Vegfb,0.917906791,NA
Acsl5,0.643924012,NA
Prdx3,0.732736934,0.54934628
Hells,1.701857375,NA
Cyp2c55,4.652529859,NA
Aldh18a1,1.28389971,NA
Pik3ap1,0.523602071,NA
Fundc1,0.597473102,NA
Gk,-1.017355118,NA
Maged1,0.688302661,NA
Fasn,0.959900336,NA
Slc16a3,1.250271043,NA
Csnk1d,0.709444738,NA
Cyp2c23,NA,-0.940692598
Hexa,0.596112834,NA
Fyco1,-1.113749701,NA
Maged2,0.95750672,NA
Cd63,2.489907176,2.194124768
Dgka,-0.875378234,NA
Inhbc,NA,-0.796408859
Pias2,-0.847314639,NA
Paox,-0.656360752,-0.907847324
Cdhr5,-0.951116128,NA
Taldo1,1.039266196,NA
Gusb,0.802617283,NA
Dock9,-0.571889375,NA
Tk1,-0.786440393,NA
Slc28a1,NA,1.033953015
Homer2,-1.746071799,NA
Cps1,-0.83349058,NA
Cflar,-0.462543464,NA
Col5a2,1.286177215,NA
Col3a1,1.058204559,1.084213792
Nabp1,0.870128722,NA
Zap70,-1.188192966,-1.37127915
Ogfrl1,-0.78793353,NA
Cyp27a1,-0.854930892,NA
Pecr,NA,-0.829957015
Itm2c,0.808264814,NA
Capn10,-1.597298511,-1.524078235
Gpr35,1.084939044,NA
Gpr39,0.749155561,NA
Acmsd,0.958613124,NA
Dars,-0.977676606,-0.9273374
F13b,-0.570865338,NA
Dbi,0.744515176,NA
Steap3,-1.282265118,-1.375393784
Pigr,-1.863256765,-1.030481127
Arl8a,1.497630265,NA
Pik3c2b,-0.979721449,-0.90083823
Ahctf1,-0.703827461,NA
Srp9,-0.943292702,-1.779550509
Tmem63a,-1.598428747,-1.111953162
Ifi202b,NA,3.061710576
Ifi211,-1.179618741,NA
Tagln2,0.962126943,NA
Slamf9,1.351338376,1.222632302
Atp1b1,-0.494262494,NA
Sec16b,-0.773494774,NA
Spata17,-1.155554428,NA
Lamb3,-0.908343979,NA
Atf6,-0.492112422,NA
Nuf2,3.468476474,NA
Fmo3,-0.758847661,NA
Cenpl,-1.314427497,NA
Serpinc1,-0.703021276,NA
Nek6,0.727573007,NA
Lcn2,2.192319889,3.517031306
Gpd2,0.510129375,NA
Abca2,-0.667114786,NA
Uap1l1,2.358213118,2.447480952
Dpp7,0.99761541,0.877249077
Frzb,1.349739965,NA
Cybrd1,NA,-0.683040104
Hat1,0.41930203,NA
Abcb11,-1.364098419,-1.078107183
Dhrs9,2.301080349,1.21507084
Slc43a1,-2.690386317,NA
Mkks,-0.845988276,NA
Mtch2,0.338092777,NA
Rad51,1.362012189,NA
Smox,1.283429934,NA
Slc23a2,-0.874066642,NA
Crls1,-0.651269375,NA
Nop56,0.784871247,NA
Cpxm1,1.317937768,NA
Tpx2,1.339395671,NA
Fam210b,-0.677733734,-0.856965312
Atp9a,0.528958692,NA
Car2,1.165065938,1.160928042
Pcmtd2,-1.440309364,NA
Eif6,0.916018874,NA
Src,1.404809578,NA
Anxa5,1.492924379,1.322027356
Ccna2,1.559937536,NA
Slc7a11,1.587748771,NA
Ppm1l,-1.03398315,-0.814025453
Pfn2,1.098279278,NA
Sike1,-0.529249779,NA
Ptgfrn,0.885671332,1.203174394
S100a11,1.846208597,NA
Il6ra,-1.207408328,-1.157355504
Lrrc39,0.954160097,NA
Vcam1,1.143731142,NA
Olfm3,-1.077762898,-1.441172256
Cyp2u1,NA,-1.480920915
Tlr2,1.494167123,1.29011574
Asic5,-0.967079933,NA
Pdgfc,NA,1.282477312
Cks1b,1.225159561,NA
Gclm,-0.792145666,NA
Eif4e,1.124976406,NA
Depdc1a,0.686713564,NA
Asph,-0.777312811,NA
Ndufaf4,-1.886540991,NA
Rragd,NA,1.678602914
Orm3,NA,1.63345396
Tnc,2.079960302,1.063431899
Svep1,NA,1.289156331
Aqp7,2.436909248,1.81402203
Car9,NA,1.178435945
Npr2,-0.699456762,NA
Reck,-0.884617395,NA
Gne,-0.753294373,NA
Mier1,-1.512132809,NA
Ttc39a,NA,1.706825133
Dyrk2,-0.818994621,NA
Ctps,1.048812138,NA
Mfsd2a,-1.318280654,-1.536237824
Kif2c,1.205303955,NA
Plk3,0.863710964,NA
Pdzk1ip1,1.353208285,NA
Capzb,0.507197803,NA
Alpl,1.650323297,1.301374808
Pef1,0.469136803,NA
Stmn1,1.188486811,NA
Ago3,-0.636662216,NA
Csf3r,1.273340839,NA
Sesn2,0.613255517,NA
Pgd,1.313900737,NA
Arhgef16,NA,1.051183806
Mapre3,0.753828423,NA
Ppargc1a,-0.851940259,NA
Klb,-0.831006746,NA
Ugdh,NA,1.165709638
Slc30a9,0.346407448,NA
Stap1,-0.931538006,-0.937156707
Sult1b1,NA,-0.738922813
Dipk1a,-0.87313912,NA
Brdt,-1.080331873,NA
Spp1,1.447727723,1.152738284
Alb,-0.460150838,NA
Cxcl9,1.263635128,NA
P2rx4,0.678682185,NA
Foxp2,-1.040978035,NA
Mmab,-0.555978481,NA
Actb,0.438709497,NA
Sds,NA,-1.238417934
Col1a2,1.526978266,1.208907359
Tfpi2,-0.600551113,NA
Tspan12,-0.510027348,NA
Pot1a,-0.432470515,NA
Aass,-0.570576359,-0.551619877
Mcm7,0.691733167,NA
Exoc4,0.703108912,NA
Tmem176b,0.921046068,0.825802156
Gpnmb,1.197052159,3.015245749
Osbpl3,1.483409436,NA
Luc7l2,-0.671734274,NA
Cbx3,-1.023166541,NA
Mad2l1,1.496536041,1.207682339
Hpgds,1.273896842,NA
Nup210,-0.816559377,NA
Tmem43,1.281532204,NA
Mug2,-1.430372491,-1.526418971
Tuba8,3.086172317,2.01771591
Fam234b,NA,-0.539237248
Emp1,1.176961827,NA
Plbd1,-0.451177477,NA
Rad18,0.864361351,NA
Cidec,1.593092672,NA
Atg7,0.687087106,NA
Cand2,1.516398418,NA
Ing4,0.90286859,NA
Scnn1a,-1.426012231,-0.962585599
Tnfrsf1a,0.466723867,0.662995219
Cd9,0.92976707,NA
Clec2h,NA,-2.79527304
Gas2,NA,-0.741197117
Tarsl2,-0.484418153,NA
Idh2,0.702040845,NA
Mesp2,NA,1.124662267
Mesp1,0.794388741,NA
Psmd8,0.552595582,NA
Mfge8,0.837840242,NA
Ddias,1.217835279,NA
Ipo5,NA,0.47279569
Mvp,1.012420172,1.240092075
Itgax,1.969739441,NA
Pycard,1.098130172,NA
Prss8,2.100659473,NA
Bag3,0.674520396,NA
Acadsb,-0.588375423,NA
Eri2,-1.626499106,NA
Lhpp,0.93861404,NA
Mki67,1.323217724,NA
Cttn,0.790375357,NA
Magix,-0.955210625,NA
Ccdc120,1.741375347,1.232352494
Otc,-0.683998334,NA
Magt1,-0.591414362,NA
Hmgn5,-0.746005615,-0.749486643
Adgrg2,2.132599346,NA
Chic1,-1.001453336,NA
Ctps2,0.939582772,1.265099882
G6pdx,0.87356287,NA
Proz,-0.345568481,NA
Cul4a,-0.892377547,-0.809917563
Gas6,NA,0.959717153
Slc25a15,-0.504904838,-0.576182276
Col4a1,0.892482554,NA
Col4a2,0.875056075,NA
Gpm6a,NA,-1.182379113
Tenm3,NA,0.603830632
Rbpms,0.658690638,NA
Slc7a2,-0.751262015,NA
Galnt7,1.136349394,NA
Hpgd,-0.859739477,-0.980926602
Irf2,-0.675746152,NA
Slc25a4,1.090271521,NA
Ces1f,0.837603163,0.635356514
Arl2bp,0.957465874,NA
Kifc3,0.996350161,NA
Cotl1,1.085295597,NA
Mast3,-1.253351134,NA
Pde4c,-1.402665349,NA
Map3k21,-0.84353835,NA
Ces2e,0.606932056,NA
Nfatc3,-0.65938358,NA
Smpd3,1.192772488,1.235518549
4931406C07Rik,0.543196413,NA
St3gal4,0.504765932,NA
Acat1,-0.712153743,NA
Apoa4,0.959671826,NA
Tagln,1.814499696,NA
Chek1,1.475092745,NA
Lysmd2,1.178425405,NA
Rab27a,NA,1.303183971
Lipc,-0.898085192,NA
Ccnb2,1.839691011,NA
Anxa2,2.383118032,1.17599049
Ireb2,-0.467878273,NA
Pkm,0.83754762,NA
Tmem266,NA,-1.348810535
Cyp1a1,1.148163978,NA
Tspan3,0.586915767,NA
Gsta4,1.214796804,NA
Gclc,0.748877679,NA
Adamts7,-1.531771503,NA
Tpm1,1.25123967,0.976821356
Plscr1,0.941541558,0.783823274
Syncrip,-0.560409737,NA
Crtap,0.984064344,NA
Tgfbr2,0.992505481,NA
Dclk3,-1.093612395,NA
Slco2a1,-1.139829275,NA
Gnai2,0.69898652,0.547190743
Ip6k1,-0.607621318,NA
Fhl3,1.301753398,NA
Malt1,-0.907562916,NA
Kank1,-0.338083855,NA
Mansc1,1.006348276,NA
Snx33,-0.500689789,NA
Tpcn1,-0.623268159,NA
Slc8b1,-0.861891706,NA
Gng11,0.761758329,NA
Chrm1,-0.575571221,-1.429982232
Srxn1,1.537270795,NA
Arap1,-0.509309757,NA
Ppp1r9a,-0.922075364,NA
Abcc4,1.917615459,1.418353923
Fbxo21,-0.852634636,NA
Atg12,0.464175052,NA
Rasgrp2,1.151936268,NA
Pygb,1.56169657,1.25544229
Kctd17,1.663653949,1.135472547
Dpyd,-0.759563955,-0.727327152
Arhgap44,NA,1.272233989
Arhgef5,0.582305069,NA
Igf2bp2,1.020840735,NA
Spata2l,-0.931345914,-0.861909206
Gabrb3,-1.662170196,NA
Smyd5,0.798154161,NA
Mks1,-1.335680728,NA
Tspan8,1.139586022,NA
Chchd4,0.51478555,NA
Loxl2,1.030129119,NA
Gpc1,NA,-1.556754499
Fhod3,-1.039230186,NA
Lif,1.36500765,NA
Tmem30b,-0.45263248,NA
Eda2r,1.788613409,1.392158364
Ifit1,-0.808904365,NA
Zfp395,-0.738528146,NA
Exph5,-0.802142506,NA
Ppm1h,0.955368291,NA
Ly6d,1.407884981,2.116547097
Mfrp,-1.640623606,NA
Dsg1c,-1.94851848,-1.502673183
Cd207,2.059441816,NA
Colgalt1,0.395281609,NA
Plvap,0.654854553,NA
Cxcl10,1.574318112,1.781960874
Vat1,0.913912069,NA
Ubd,2.750008551,1.81153143
Arl6ip5,0.581835161,NA
Rims4,2.243447852,1.344344315
Impg2,-1.0689205,NA
Hacd2,0.518447317,NA
Ccl2,1.633385898,1.30363635
Haus8,NA,1.191548917
Fignl1,1.288192919,NA
Tgfbi,0.622044213,NA
Prkx,0.731954494,NA
