"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol"
"ENSMUSG00000028716",20.2470017734017,1.3532082853596,0.402649978171681,3.29385133858791,0.000988247504080979,0.0191261381590921,"Pdzk1ip1"
"ENSMUSG00000052396",12.1966594552741,1.94714190055684,0.399704419134469,4.79265570822177,1.64587939988061e-06,0.000110344794981469,"Mogat2"
"ENSMUSG00000035878",4356.10361440744,-1.03877144710853,0.136220962843673,-7.62574836075662,2.42622706516682e-14,1.13320978790392e-11,"Hykk"
"ENSMUSG00000039826",147.257369630912,0.972886304463215,0.19861984632528,4.89660376857229,9.75071685460536e-07,6.93538297293047e-05,"Trub2"
"ENSMUSG00000070690",535.183471063326,-0.677443453556211,0.193195323807079,-3.50632111072525,0.000454346729914516,0.0107903497958681,"5830473C10Rik"
"ENSMUSG00000033706",198.203224006092,0.798154161103723,0.247254708836453,3.22587089841876,0.00125589993228949,0.022794909133731,"Smyd5"
"ENSMUSG00000023004",1433.62963415128,0.385883584058598,0.129201750681536,2.98669548285701,0.00282010475804914,0.0419483098405357,"Tuba1b"
"ENSMUSG00000026031",1880.97287067934,-0.462543463562921,0.152180740291025,-3.03952919608708,0.00236948234909249,0.037054895843174,"Cflar"
"ENSMUSG00000039878",91.7208205194082,1.13518731812291,0.3841551166262,2.92732137527945,0.0034189539131788,0.0483902850822841,"Slc39a5"
"ENSMUSG00000032423",953.782210570979,-0.56040973712157,0.189716856733792,-2.95410106723614,0.00313581290742177,0.0453446960359069,"Syncrip"
"ENSMUSG00000090272",53.9493609590455,-1.52514598798832,0.398673921732398,-4.0300223143364,5.57715582234695e-05,0.00206192895468933,"Mndal"
"ENSMUSG00000041540",203.460683904283,-1.25614082286155,0.346009564713141,-3.65923990434888,0.0002529644433615,0.00688259763180843,"Sox5"
"ENSMUSG00000000168",1331.55709863634,0.578896060348921,0.168153257087717,3.4424415304091,0.000576488472256926,0.0128885495027517,"Dlat"
"ENSMUSG00000047496",818.089094203965,-1.78333100386813,0.304194163023084,-5.89000425567097,3.86185673743717e-09,5.94641061593072e-07,"Rnf152"
"ENSMUSG00000016528",2550.67374253705,0.422574212808431,0.115804735864644,3.64899017847802,0.000263273168012132,0.00710786826625433,"Mapkapk2"
"ENSMUSG00000051934",84.3084566381559,0.88199162171366,0.274459680403495,3.21173140833747,0.00131937664222629,0.0236983010307048,"Spats2"
"ENSMUSG00000032080",8892.20778501963,0.959671826307935,0.281892059283492,3.39950166070544,0.000675087698793314,0.0144859553376599,"Apoa4"
"ENSMUSG00000021087",34.2956952768172,0.911085068076008,0.287903188408763,3.16210429598879,0.00156633453736319,0.0269294227454393,"Rtn1"
"ENSMUSG00000022195",191.657766669594,-1.16641097084036,0.369274904140166,-3.19806239782611,0.00138354340015603,0.0245395064847928,"6030458C11Rik"
"ENSMUSG00000029676",175.299563164687,-0.432470515045125,0.14387504486727,-3.00490469578316,0.00265664077443538,0.04028663477423,"Pot1a"
"ENSMUSG00000025351",129.163286617081,2.48990717599279,0.296499268689117,8.33974250217254,7.4452481720196e-17,4.96775320887327e-14,"Cd63"
"ENSMUSG00000025357",66.9624075872582,-0.875378234404569,0.245123693150992,-3.56421801365336,0.000364942542965541,0.00901865063850646,"Dgka"
"ENSMUSG00000062822",652.309989414063,-0.526976161043796,0.160752808824773,-3.27808396757626,0.00104514301159684,0.0200335757571749,"4833420G17Rik"
"ENSMUSG00000112022",32.4221636806002,-0.327628266857481,0.261664673064375,-3.43850296392089,0.000584940134274887,0.0130304946923048,"Gm2436"
"ENSMUSG00000034121",11.9288140004499,-1.33568072838575,0.390292815876449,-3.39459788839618,0.000687294651329723,0.0147028590144001,"Mks1"
"ENSMUSG00000034127",86.816401013396,1.13958602162598,0.360879242595658,3.13708069889406,0.00170639153279042,0.0289116785459002,"Tspan8"
"ENSMUSG00000078964",2326.56804183175,-0.560411693365328,0.191098013265285,-2.93289701407311,0.00335815264188048,0.047674199410364,"Ces1b"
"ENSMUSG00000075324",296.612029066947,-0.626365396297371,0.180963155131867,-3.46101484364863,0.000538143138749438,0.0122410091885668,"Fign"
"ENSMUSG00000032218",36.1311456509876,1.83969101064722,0.389361937130139,4.66207977320638,3.13029800057739e-06,0.000189059205103838,"Ccnb2"
"ENSMUSG00000057228",2453.21768752423,-0.920053753167482,0.209023496150228,-4.40302018221235,1.06754230625227e-05,0.00051938898594468,"Aadat"
